,Model_2_10classes,Model_Cos_10classes,Model_2_5classes,Model_Cos_5classes,Model_2_3classes,Model_Cos_3classes
artery,0.202932,0.146046,0.038524,0.291239,0.23886,0.100121
liver,0.376306,0.392321,0.405927,0.428036,0.255087,0.326486
stomach,0.139283,0.127563,0.073138,0.153814,0.186072,0.118339
vein,0.172008,0.169407,0.138374,0.217782,0.113443,0.134099
